,std,name
205,KR7204020002,그리티
206,KR7402490007,그린리소스
207,KR7114450000,그린생명과학
208,KR7083420000,그린케미칼
209,KR7186230009,그린플러스
210,KR7014530000,극동유화
211,KR7083450007,GST
212,KYG3931T1076,글로벌에스엠
213,KR7204620009,글로벌텍스프리
214,KR7019660000,글로본
215,KR7014281000,금강공업우
216,KR7014280002,금강공업
217,KR7053260006,금강철강
218,KR7008870008,금비
219,KR7282720002,금양그린파워
220,KR7001570001,금양
221,KR7002991008,금호건설우
222,KR7002990000,금호건설
223,KR7011781002,금호석유우
224,KR7011780004,금호석유
225,KR7214330003,금호에이치티
226,KR7001210004,금호전기
227,KR7073240004,금호타이어
228,KR7036190007,금화피에스시
229,KR7049080005,기가레인
230,KR7420770000,기가비스
231,KR7035460005,기산텔레콤
232,KR7092440007,기신정기
233,KR7000270009,기아
234,KR7456700004,길교이앤씨
235,KR7013700000,까뮤이앤씨
236,KR7004541009,깨끗한나라우
237,KR7004540001,깨끗한나라
238,KR7407400001,꿈비
239,KR7187790001,나노
240,KR7286750005,나노브릭
241,KR7121600001,나노신소재
242,KR7247660004,나노씨엠에스
243,KR7039860002,나노엔텍
244,KR7091970004,나노캠텍
245,KR7417010006,나노팀
246,KR7244880001,나눔테크
247,KR7405920000,나라셀라
248,KR7288490006,나라소프트
249,KR7051490001,나라엠앤디
250,KR7137080008,나래나노텍
251,KR7190510008,나무가
252,KR7242040004,나무기술
253,KR7089600001,나스미디어
254,KR7293580007,나우IB
255,KR7257990002,나우코스
256,KR7138610001,나이벡
257,KR7130580004,나이스디앤비
258,KR7036800001,나이스정보통신
259,KR7030190003,NICE평가정보
260,KR7267320000,나인테크
261,KR7001260009,남광토건
262,KR7008351009,남선알미우
263,KR7008350001,남선알미늄
264,KR7004270005,남성
265,KR7003921004,남양유업우
266,KR7003920006,남양유업
267,KR7025860008,남해화학
268,KR7111710000,남화산업
269,KR7091590000,남화토건
270,KR7168330009,내츄럴엔도텍
271,KR7094860004,네오리진
272,KR7253590004,네오셈
273,KR7212560007,네오오토
274,KR7095660007,네오위즈
275,KR7042420000,네오위즈홀딩스
276,KR8840140006,네오이뮨텍
277,KR7311390009,네오크레마
278,KR7085910008,네오티스
279,KR7092730001,네오팜
280,KR7290660000,네오펙트
281,KR7306620006,네온테크
282,KR7153460001,네이블
283,KR7007390008,네이처셀
284,KR7033640004,네패스
285,KR7330860008,네패스아크
286,KR7005721006,넥센우
287,KR7005720008,넥센
288,KR7002351005,넥센타이어1우B
289,KR7002350007,넥센타이어
290,KR7089140008,넥스턴바이오
291,KR7389650003,넥스트바이오메디컬
292,KR7137940003,넥스트아이
293,KR7160550000,NEW
294,KR7396270001,넥스트칩
295,KR7348210006,넥스틴
296,KR7092790005,넥스틸
297,KR7225570001,넥슨게임즈
298,KR7205500002,넥써쓰
299,KR7217270008,넵튠
300,KR7251270005,넷마블
301,KR7317860005,노드메이슨
302,KR7104620000,노랑풍선
303,KR7090351008,노루페인트우
304,KR7090350000,노루페인트
305,KR7000321000,노루홀딩스우
306,KR7000320002,노루홀딩스
307,KR7473980001,노머스
308,KR7194700001,노바렉스
309,KR7285490009,노바텍
310,KR7283100006,노보믹스
311,KR7145170007,노브랜드
312,KR7229500004,노브메타파마
313,KR7106520000,노블엠앤비
314,KR7376930004,노을
315,KR7006280002,녹십자
316,KR7142280007,녹십자엠에스
317,KR7234690006,녹십자웰빙
318,KR7005252002,녹십자홀딩스2우
319,KR7005250006,녹십자홀딩스
320,KR7004370003,농심
321,KR7072710007,농심홀딩스
322,KR7154030001,아시아종묘
323,KR7403490006,우듬지팜
324,KR7054050000,농우바이오
325,KR7069140002,누리플랜
326,KR7040160004,누리플렉스
327,KR7332290006,누보
328,KR7348340001,뉴로메카
329,KR7060260007,뉴보텍
330,KR7123840001,뉴온
331,KR7012340006,뉴인텍
332,KR7270870009,뉴트리
333,KR7144960002,뉴파워프라즈마
334,KR7085670008,뉴프렉스
335,KR7064260003,다날
336,KR7340360007,다보링크
337,KR7039560008,다산네트웍스
338,KR7154040000,다산솔루에타
339,KR7058730003,다스코
340,KR7030210009,다올투자증권
341,KR7023590003,다우기술
342,KR7032190001,다우데이타
343,KR7323350009,다원넥스뷰
344,KR7068240001,다원시스
345,KR7145210001,다이나믹디자인
346,KR7464580000,닷밀
347,KR7019680008,대교
348,KR7019681006,대교우B
349,KR7006370001,대구백화점
350,KR700806K010,대덕1우
351,KR7008060006,대덕
352,KR7353200009,대덕전자
353,KR735320K011,대덕전자1우
354,KR7178600003,대동고려삼
355,KR7020400008,대동금속
356,KR7008830002,대동기어
357,KR7000490003,대동
358,KR7048470009,대동스틸
359,KR7008110009,대동전자
360,KR7004780003,대륙제관
361,KR7005750005,대림B&Co
362,KR7017650003,대림제지
363,KR7006570006,대림통상
364,KR7007720006,대명소노시즌
